"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Latent learning progress drives autonomous goal selection in human reinforcement learning","https://scispace.com/paper/latent-learning-progress-drives-autonomous-goal-selection-in-41o88abstc","2024","Preprint","","Gaia Molinaro
Cédric Colas
Pierre-Yves Oudeyer
Anne Collins","10.31234/osf.io/5dtx3","https://proceedings.neurips.cc/paper_files/paper/2024/file/38c5feed4b72c96f6cf925ccc9832ecf-Paper-Conference.pdf","… Following this example, we formulate latent learning progress (LLP) as a measure of progress an … We also find inter-individual differences in goal selection strategies, warranting further …","Humans are autotelic agents who learn by setting and pursuing their own goals. However, the precise mechanisms guiding human goal selection remain unclear. Learning progress, typically measured as the observed change in performance, can provide a valuable signal for goal selection in both humans and artificial agents. We hypothesize that human choices of goals may also be driven by latent learning progress, which humans can estimate through knowledge of their actions and the environment – even without experiencing immediate changes in performance. To test this hypothesis, we designed a hierarchical reinforcement learning task in which human participants (N = 175) repeatedly chose their own goals and learned goal-conditioned policies. Our behavioral and computational modeling results confirm the influence of latent learning progress on goal selection and uncover inter-individual differences, partially mediated by recognition of the environment’s hierarchical structure. By investigating the role of latent learning progress in human goal selection, we pave the way for more effective and personalized learning experiences as well as the advancement of more human-like autotelic machines. "
"How do (some) people make a cognitive map? Routes, places, and working memory.","https://scispace.com/paper/how-do-some-people-make-a-cognitive-map-routes-places-and-1rcdg7i6p8","2016","Journal Article","Journal of Experimental Psychology: Learning, Memory and Cognition","Steven M. Weisberg
Nora S. Newcombe","10.1037/XLM0000200","https://psycnet.apa.org/manuscript/2015-52470-001.pdf","… In Study 2, we sought to determine how these two paradigms tapping individual differences in way-finding relate to each other, and what the relation tells us about how integrators …","Research on the existence of cognitive maps and on the cognitive processes that support effective navigation has often focused on functioning across individuals. However, there are pronounced individual differences in navigation proficiency, which need to be explained and which can illuminate our understanding of cognitive maps and effective navigation. Using a virtual environment involving 2 routes (Virtual Silcton, a desktop virtual environment; Weisberg, Schinazi, Newcombe, Shipley, & Epstein, 2014), we divided people into 3 groups based on their within-route and between-route pointing accuracy: integrators, non-integrators, and imprecise navigators. In Study 1, we found that imprecise navigators have lower spatial and verbal working memory, which may limit their ability to build accurate within-route representations. We also found that integrators maintain excellent memories of buildings as categorized by route membership, possibly supporting the idea of hierarchical representations of the environment. In Study 2, we assessed preferences regarding place and route learning using a virtual version of the rodent T-maze (Marchette, Bakker, & Shelton, 2011). Integrators found more goals overall, and although they did not have an overall preference for a place-based strategy, integrators who did choose a place-based strategy found more goals. The opposite was true for imprecise navigators. In Study 3, we added a monetary incentive for accuracy to evaluate whether increased motivation leads to fewer participants classified as imprecise, but found no significant change in the distribution of performance. These data have theoretical implications for the cognitive map hypothesis, and practical implications for improving navigational functioning. A one-size-fits-all approach may fit none. (PsycINFO Database Record"
"Habit formation and higher mental processes in animals.","https://scispace.com/paper/habit-formation-and-higher-mental-processes-in-animals-54ezzvgyjx","1927","Journal Article","Psychological Bulletin","Edward Chace Tolman","10.1037/H0070440","https://home.csulb.edu/~cwallis/382/readings/482/Tolman.habit.formation.1928.pdf","… Mazes unreliable for measuring individual differences have been shown to be reliable … (III) Tolman proposes an interpretation of trial-and-error and of insight as two extreme varieties of …",""
"Individual differences in mental imagery modulate effective connectivity of scene-selective regions during resting state","https://scispace.com/paper/individual-differences-in-mental-imagery-modulate-effective-2g05j7ry","2022","Journal Article","Brain Structure & Function","Maria Giulia Tullo","10.1007/s00429-022-02475-0","https://link.springer.com/content/pdf/10.1007/s00429-022-02475-0.pdf","… regions could reflect individual differences in mental imagery … in navigation and provides new insight in understanding how … a mental image (ie, a cognitive map) of a specific place plays …","Successful navigation relies on the ability to identify, perceive, and correctly process the spatial structure of a scene. It is well known that visual mental imagery plays a crucial role in navigation. Indeed, cortical regions encoding navigationally relevant information are also active during mental imagery of navigational scenes. However, it remains unknown whether their intrinsic activity and connectivity reflect the individuals' ability to imagine a scene. Here, we primarily investigated the intrinsic causal interactions among scene-selective brain regions such as Parahipoccampal Place Area (PPA), Retrosplenial Complex, and Occipital Place Area (OPA) using Dynamic Causal Modelling for resting-state functional magnetic resonance data. Second, we tested whether resting-state effective connectivity parameters among scene-selective regions could reflect individual differences in mental imagery in our sample, as assessed by the self-reported Vividness of Visual Imagery Questionnaire. We found an inhibitory influence of occipito-medial on temporal regions, and an excitatory influence of more anterior on more medial and posterior brain regions. Moreover, we found that a key role in imagery is played by the connection strength from OPA to PPA, especially in the left hemisphere, since the influence of the signal between these scene-selective regions positively correlated with good mental imagery ability. Our investigation contributes to the understanding of the complexity of the causal interaction among brain regions involved in navigation and provides new insight in understanding how an essential ability, such as mental imagery, can be explained by the intrinsic fluctuation of brain signal. "
"The determiners of behavior at a choice point.","https://scispace.com/paper/the-determiners-of-behavior-at-a-choice-point-2trkz2y5s0","1938","Journal Article","Psychological Review","Edward Chace Tolman","10.1037/H0062733","http://wexler.free.fr/library/files/tolman%20(1938)%20the%20determiners%20of%20behavior%20at%20a%20choice-point.pdf","… Tolman suggests a set of"" intervening variables"" or theoretical constructs to replace the"" stimuli, connections, and response tendencies"" of Thorndike, and the added"" conditioning, goal-…",""
"INDIVIDUAL DIFFERENCES IN THE MAZE BEHAVIOR IN RATS","https://scispace.com/paper/individual-differences-in-the-maze-behavior-in-rats-199mdgqs9w","1954","Journal Article","The annual of Animal Psychology","Chizuko Asami","10.2502/JANIP1944.4.45","https://www.jstage.jst.go.jp/article/janip1944/4/0/4_0_45/_pdf","… この報告は以上の ような問題の予備的研究 として,先 ず手近かにあつた見 通 し実験用迷路(insight … Defecation and urination as measures of individual differences in emotionality. J. comp. …",""
"Curiosity shapes spatial exploration and cognitive map formation in humans","https://scispace.com/paper/curiosity-shapes-spatial-exploration-and-cognitive-map-hw3oao48fu7q","2024","Journal Article","Communications psychology","Danlu Cen
Eva Teichert
Carl J. Hodgetts
Matthias J. Gruber","10.1038/s44271-024-00174-6","https://www.nature.com/articles/s44271-024-00174-6.pdf","… Importantly, map drawings allow more insight into the … to evaluate critical aspects of cognitive map formation, including … Here, our findings demonstrated that individual differences in …","Cognitive maps are thought to arise, at least in part, from our intrinsic curiosity to explore unknown places. However, it remains untested how curiosity shapes aspects of spatial exploration in humans. Combining a virtual reality task with indices of exploration complexity, we found that pre-exploration curiosity states predicted how much individuals spatially explored environments, whereas markers of visual exploration determined post-exploration feelings of interest. Moreover, individual differences in curiosity traits, particularly Stress Tolerance, modulated the relationship between curiosity and spatial exploration, suggesting the capacity to cope with uncertainty enhances the curiosity-exploration link. Furthermore, both curiosity and spatial exploration predicted how precisely participants could recall spatial-relational details of the environment, as measured by a sketch map task. These results provide new evidence for a link between curiosity and exploratory behaviour, and how curiosity might shape cognitive map formation. "
"The construction and use of cognitive maps in model-based control.","https://scispace.com/paper/the-construction-and-use-of-cognitive-maps-in-model-based-1a892x9z","2022","Posted Content","","AB Karagoz
ZM Reagh
W Kool","10.31234/osf.io/ngqwa","","… to try and track individual differences in cognitive map formation. These individual differences in … Second, behavior in this class of tasks does not lend insight into the structure and task …","When making decisions, we sometimes rely on habit and at other times plan towards goals. Planning requires the construction and use of an internal representation of the environment, a cognitive map. How are these maps constructed, and how do they guide goal-directed decisions? We coupled a sequential decision-making task with a behavioral representational similarity analysis approach to examine how relationships between choice options change when people build a cognitive map of the task structure. We found that participants who encoded stronger higher-order relationships among choice options showed increased planning and better performance. These higher-order relationships were more strongly encoded among objects encountered in high-reward contexts, indicating a role for motivation during cognitive map construction. In contrast, lower-order relationships such as simple visual co-occurrence of objects did not predict goal-directed planning. These results show that humans actively construct and use cognitive maps of task structure to make goal-directed decisions. "
"Purposive behavior in animals and men","https://scispace.com/paper/purposive-behavior-in-animals-and-men-3e7181cikx","1932","Book","","Edward Chace Tolman","","","… In the present volume Professor Tolman has done a unique thing. He has given us not only … Many of these experiments are recent and many are from Professor Tolman's own laboratory. …",""
"Less is more: latent learning is maximized by shorter training sessions in auditory perceptual learning","https://scispace.com/paper/less-is-more-latent-learning-is-maximized-by-shorter-4lcmx0gc0k","2012","Journal Article","PLOS ONE","Katharine Molloy
David R. Moore
Ediz Sohoglu
Sygal Amitay","10.1371/JOURNAL.PONE.0036929","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0036929&type=printable","… varying the training regimen may provide insight into both learning … learning curves (B) Pre-, post- and retention tests at the trained frequency (1 kHz), adjusted for individual differences …","Background The time course and outcome of perceptual learning can be affected by the length and distribution of practice, but the training regimen parameters that govern these effects have received little systematic study in the auditory domain. We asked whether there was a minimum requirement on the number of trials within a training session for learning to occur, whether there was a maximum limit beyond which additional trials became ineffective, and whether multiple training sessions provided benefit over a single session. Methodology/Principal Findings We investigated the efficacy of different regimens that varied in the distribution of practice across training sessions and in the overall amount of practice received on a frequency discrimination task. While learning was relatively robust to variations in regimen, the group with the shortest training sessions (~8 min) had significantly faster learning in early stages of training than groups with longer sessions. In later stages, the group with the longest training sessions (>1 hr) showed slower learning than the other groups, suggesting overtraining. Between-session improvements were inversely correlated with performance; they were largest at the start of training and reduced as training progressed. In a second experiment we found no additional longer-term improvement in performance, retention, or transfer of learning for a group that trained over 4 sessions (~4 hr in total) relative to a group that trained for a single session (~1 hr). However, the mechanisms of learning differed; the single-session group continued to improve in the days following cessation of training, whereas the multi-session group showed no further improvement once training had ceased. Conclusions/Significance Shorter training sessions were advantageous because they allowed for more latent, between-session and post-training learning to emerge. These findings suggest that efficient regimens should use short training sessions, and optimized spacing between sessions."
