"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A statistical associative account of vocabulary growth in early word learning","https://scispace.com/paper/a-statistical-associative-account-of-vocabulary-growth-in-2bzc9q0qay","2008","Journal Article","Language Learning and Development","Chen Yu","10.1080/15475440701739353","","… on subsequent learning using realistic data collected from child-… shows that the acceleration of word learning may be partially … -caregiver interactions, it provides quantitative evidence …","There are an infinite number of possible word-to-world pairings. One way children could learn words at an early stage is by computing statistical regularities across different modalities—pairing spoken words with possible referents in the co-occurring extralinguistic environment, collecting a number of such pairs, and then figuring out the common elements. This paper provides computational evidence that such a statistical mechanism is possible for object name learning. Moreover, young children learn words much more effectively and efficiently at later stages. Could statistical learning account for this behavioral change? The current paper explores this question by presenting a developmental model of word learning that relies on a general associative mechanism and recruits previously learned words to guide subsequent word learning. This mechanism leads to increasingly fast learning and corresponding behavioral changes. Simulation studies are conducted using the data collected from a series of picture-book ..."
"Dynamic assessment of multilingual children's word learning","https://scispace.com/paper/dynamic-assessment-of-multilingual-children-s-word-learning-1oaavnod","2022","Journal Article","International Journal of Language & Communication Disorders","Andrea A. N. MacLeod
Amy M. Glaspey","10.1111/1460-6984.12723","","… to children's vocabulary scores on the standardized tests, but not parent report of language development, … Cross-language transfer from the first language can accelerate word learning …","BACKGROUND
Teachers and clinicians may struggle to provide early identification to support multilingual children's language development. Dynamic assessments are a promising approach to identify and support children's language development.


AIMS
We developed and studied a novel word learning task that is dynamic and language neutral. It makes use of multilingual children's abilities to apply language transfer, fast mapping and socially embedded language to the learning of new words.


METHODS & PROCEDURES
A total of 26 children attending kindergarten in French participated in this study. Within this group, 13 different home languages were spoken. Children took part in a dynamic assessment task of their word learning that consisted of a test-teach-retest task. Children's scores on this task were compared with their language abilities reported by their parents, amount of language exposure and scores on standardized tests of vocabulary. All tasks were delivered in French.


OUTCOMES & RESULTS
Children had higher accuracy for known words as compared with new words in the task, which may suggest transfer of knowledge from their first language. They also showed increased accuracy in identifying and naming the new words across the three trials, suggesting fast mapping of these new vocabulary items. Finally, the scores on the dynamic task correlated to children's vocabulary scores on the standardized tests, but not parent report of language development, or the amount of exposure to the language of school.


CONCLUSIONS & IMPLICATIONS
This novel dynamic assessment task taps into the process of vocabulary learning, but is less influenced by prior language knowledge. Together, these findings provide insight into early word learning by young multilingual children and proposes a conceptual model for identifying strategies to support second language acquisition.


WHAT THIS PAPER ADDS
What is already known on the subject Many barriers exist with regards to assessing the language abilities of multilingual children when a clinician aims to assess their language abilities in both languages. An alternative approach is to measure children's language processing abilities. What this paper adds to existing knowledge A novel dynamic and multilingual task was developed and implemented in this study. This task builds on children's word learning abilities that include cross-language transfer, fast-mapping, and socially imbedded learning. This multilingual task was found to tap into vocabulary learning but was not influenced by prior language knowledge. What are the potential or actual clinical implications of this work? Applying a task that focuses on language processing abilities is a promising strategy to capture language abilities in multilingual children. In addition, the dynamic nature of this tasks allows a clinician to identify scaffolding strategies that best support children's word learning."
"The pace of vocabulary growth helps predict later vocabulary skill","https://scispace.com/paper/the-pace-of-vocabulary-growth-helps-predict-later-vocabulary-1a3lmqpej0","2012","Journal Article","Child Development","Meredith L. Rowe
Stephen W. Raudenbush
Susan Goldin-Meadow","10.1111/J.1467-8624.2011.01710.X","https://pmc.ncbi.nlm.nih.gov/articles/PMC3262592/pdf/nihms338878.pdf","… for the interaction, we used the total number of different words … To assess the relation between early vocabulary growth and … of children’s growth and acceleration in vocabulary during …","Children vary widely in the rate at which they acquire words—some start slow and speed up, others start fast and continue at a steady pace. Do early developmental variations of this sort help predict vocabulary skill just prior to kindergarten entry? This longitudinal study starts by examining important predictors (socioeconomic status [SES], parent input, child gesture) of vocabulary growth between 14 and 46 months (n = 62) and then uses growth estimates to predict children’s vocabulary at 54 months. Velocity and acceleration in vocabulary development at 30 months predicted later vocabulary, particularly for children from low-SES backgrounds. Understanding the pace of early vocabulary growth thus improves our ability to predict school readiness and may help identify children at risk for starting behind."
"Dynamic assessment of word learning skills: Identifying language impairment in bilingual children","https://scispace.com/paper/dynamic-assessment-of-word-learning-skills-identifying-1grv41vfbb","2012","Journal Article","Language Speech and Hearing Services in Schools","Maria Kapantzoglou
M. Adelaida Restrepo
Marilyn S. Thompson","10.1044/0161-1461(2011/10-0095)","https://www.researchgate.net/profile/Maria-Restrepo-33/publication/51769781_Dynamic_Assessment_of_Word_Learning_Skills_Identifying_Language_Impairment_in_Bilingual_Children/links/0046353ac88ec6874c000000/Dynamic-Assessment-of-Word-Learning-Skills-Identifying-Language-Impairment-in-Bilingual-Children.pdf","… and develop through interaction with the environment in daily … The assessment of novel-word learning skills through DA … than the assessment of existing vocabulary in bilinguals for …","Purpose Bilingual children are often diagnosed with language impairment, although they may simply have fewer opportunities to learn English than English-speaking monolingual children. This study ex..."
"Measuring word learning: Dynamic versus static assessment of kindergarten vocabulary","https://scispace.com/paper/measuring-word-learning-dynamic-versus-static-assessment-of-4p7anvzaki","2007","Journal Article","Journal of Communication Disorders","Vera Joanna Burton
Ruth V. Watkins","10.1016/J.JCOMDIS.2006.06.015","","… were 24 typically developing African American children, from … interaction between risk and performance on the vocabulary … These data suggest that the use of the dynamic measure in …",""
"Lexical acceleration coincides with the onset of combinatorial speech","https://scispace.com/paper/lexical-acceleration-coincides-with-the-onset-of-4h11qlw0ow","1998","Journal Article","Language","Moshe Anisfeld
Erica S. Rosenberg
Mara J. Hoberman
Don Gasparini","10.1177/014272379801805303","","… This explanation has also not withstood empirical tests. … Halliday gives only scant quantitative information in support … between the growth of vocabulary and the growth of syntax, …","Five children whose ages at the beginning of the study ranged from 12 to 17 months were observed weekly for 8-10 months. For each subject the cumulative numbers of both new words and new word- combinations were plotted as a function of week of observation. An exponential function was fitted to the lexical curves, and lexical acceleration was defined as an upward deviation of the observed curves from the fitted curves. It was found that lexical accelerations occurred at the time the subjects began to produce word- combinations. It is suggested that combinatorial speech, requiring greater specificity of expression (than holophrastic speech), motivates the learning of new words. At the same time, the sensitivity to sentential speech facilitates the mapping of word meanings."
"Within and across language predictors of word learning processes in dual language learners","https://scispace.com/paper/within-and-across-language-predictors-of-word-learning-39soiroze8","2021","Journal Article","Child Development","Amy Pace
Rufan Luo
Dani Levine
Aquiles Iglesias
Jill de Villiers
Roberta Michnick Golinkoff
Mary Sweig Wilson
Kathy Hirsh-Pasek","10.1111/CDEV.13418","https://academic.oup.com/chidev/article-pdf/92/1/35/64277136/cdev13418.pdf","… This study assessed vocabulary comprehension in Spanish and … Children’s bilingual experience was quantified via parent … To interpret significant interaction terms, we examined the …","This study investigated the relation between Dual Language Learners' (N = 90) vocabulary and grammar comprehension and word learning processes in preschool (aged 3‐through‐5 years). Of interest was whether: (a) performance in Spanish correlated with performance in English within each domain; and (b) comprehension predicted novel word learning within and across languages. Dual‐language experience was evaluated as a potential moderator. Hierarchical linear modeling revealed stronger predictive associations within each language than across languages. Across languages, results varied by experience and domain. Structural sensitivity theory suggests exposure to two languages heightens awareness of parameters along which languages vary and provides a framework for interpreting complex associations within and across languages. Knowledge from one language may influence learning in both. [ABSTRACT FROM AUTHOR]"
"Learning through processing: Toward an integrated approach to early word learning","https://scispace.com/paper/learning-through-processing-toward-an-integrated-approach-to-26pchs8d","2022","Journal Article","Annual review of linguistics","SC Meylan
E Bergelson","10.1146/annurev-linguistics-031220-011146","https://pmc.ncbi.nlm.nih.gov/articles/PMC9037961/pdf/nihms-1748675.pdf","… the child to change, accelerating improvements in learning or … nouns, that is, things that can be quantified (cf. Crain 2017). … -based tests of processing and caregiver vocabulary reports …","Children's linguistic knowledge and the learning mechanisms by which they acquire it grow substantially in infancy and toddlerhood, yet theories of word learning largely fail to incorporate these shifts. Moreover, researchers' often-siloed focus on either familiar word recognition or novel word learning limits the critical consideration of how these two relate. As a step toward a mechanistic theory of language acquisition, we present a framework of ""learning through processing"" and relate it to the prevailing methods used to assess children's early knowledge of words. Incorporating recent empirical work, we posit a specific, testable timeline of qualitative changes in the learning process in this interval. We conclude with several challenges and avenues for building a comprehensive theory of early word learning: better characterization of the input, reconciling results across approaches, and treating lexical knowledge in the nascent grammar with sufficient sophistication to ensure generalizability across languages and development. "
"A parent-directed language intervention for children of low socioeconomic status: A randomized controlled pilot study","https://scispace.com/paper/a-parent-directed-language-intervention-for-children-of-low-2z0a3h5lvm","2016","Journal Article","Journal of Child Language","Dana L. Suskind
Kristin R. Leffel
Eileen Graf
Marc W. Hernandez
Elizabeth A. Gunderson
Shannon G. Sapolich
Elizabeth Suskind
Lindsey Jeanne Leininger
Susan Goldin-Meadow
Susan C. Levine","10.1017/S0305000915000033","https://pmc.ncbi.nlm.nih.gov/articles/PMC10835758/pdf/nihms-1959427.pdf","… ’s educational outcomes and life-course trajectory, as well as parental … of quantitative data on child vocalizations, adult vocalizations, background noise, and parent–child interaction in …","We designed a parent-directed home-visiting intervention targeting socioeconomic status (SES) disparities in children's early language environments. A randomized controlled trial was used to evaluate whether the intervention improved parents' knowledge of child language development and increased the amount and diversity of parent talk. Twenty-three mother-child dyads (12 experimental, 11 control, aged 1;5-3;0) participated in eight weekly hour-long home-visits. In the experimental group, but not the control group, parent knowledge of language development increased significantly one week and four months after the intervention. In lab-based observations, parent word types and tokens and child word types increased significantly one week, but not four months, post-intervention. In home-based observations, adult word tokens, conversational turn counts, and child vocalization counts increased significantly during the intervention, but not post-intervention. The results demonstrate the malleability of child-directed language behaviors and knowledge of child language development among low-SES parents."
"What is the shape of developmental change?","https://scispace.com/paper/what-is-the-shape-of-developmental-change-4h9r4ab5qy","2008","Journal Article","Psychological Review","Karen E. Adolph
Scott R. Robinson
Jesse W. Young
Felix Gill-Alvarez","10.1037/0033-295X.115.3.527","https://pmc.ncbi.nlm.nih.gov/articles/PMC2654330/pdf/nihms-99117.pdf","… From the daily assessments, we constructed developmental … of daily diary data from 11 families with infants (5 boys, 6 girls… in activity, accelerations (eg, the vocabulary explosion) and …","Developmental trajectories provide the empirical foundation for theories about change processes during development. However, the ability to distinguish among alternative trajectories depends on how frequently observations are sampled. This study used real behavioral data, with real patterns of variability, to examine the effects of sampling at different intervals on characterization of the underlying trajectory. Data were derived from a set of 32 infant motor skills indexed daily during the first 18 months. Larger sampling intervals (2-31 days) were simulated by systematically removing observations from the daily data and interpolating over the gaps. Infrequent sampling caused decreasing sensitivity to fluctuations in the daily data: Variable trajectories erroneously appeared as step functions, and estimates of onset ages were increasingly off target. Sensitivity to variation decreased as an inverse power function of sampling interval, resulting in severe degradation of the trajectory with intervals longer than 7 days. These findings suggest that sampling rates typically used by developmental researchers may be inadequate to accurately depict patterns of variability and the shape of developmental change. Inadequate sampling regimes therefore may seriously compromise theories of development."
