"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Social intuition as a form of implicit learning: Sequences of body movements are learned less explicitly than letter sequences","https://scispace.com/paper/social-intuition-as-a-form-of-implicit-learning-sequences-of-2andup8go4","2012","Journal Article","Advances in Cognitive Psychology","Elisabeth Norman
Mark C. Price","10.2478/V10053-008-0109-X","https://pmc.ncbi.nlm.nih.gov/articles/PMC3367869/pdf/acp-08-121.pdf","… serial reaction time (SRT) and artificial grammar learning (… conscious awareness, namely confidence ratings and trial-by-trial … Familiarity differences are therefore unlikely to explain the …","In the current paper, we first evaluate the suitability of traditional serial reaction time (SRT) and artificial grammar learning (AGL) experiments for measuring implicit learning of social signals. We then report the results of a novel sequence learning task which combines aspects of the SRT and AGL paradigms to meet our suggested criteria for how implicit learning experiments can be adapted to increase their relevance to situations of social intuition. The sequences followed standard finite-state grammars. Sequence learning and consciousness of acquired knowledge were compared between 2 groups of 24 participants viewing either sequences of individually presented letters or sequences of body-posture pictures, which were described as series of yoga movements. Participants in both conditions showed above-chance classification accuracy, indicating that sequence learning had occurred in both stimulus conditions. This shows that sequence learning can still be found when learning procedures reflect the characteristics of social intuition. Rule awareness was measured using trial-by-trial evaluation of decision strategy (Dienes & Scott, 2005; Scott & Dienes, 2008). For letters, sequence classification was best on trials where participants reported responding on the basis of explicit rules or memory, indicating some explicit learning in this condition. For body-posture, classification was not above chance on these types of trial, but instead showed a trend to be best on those trials where participants reported that their responses were based on intuition, familiarity, or random choice, suggesting that learning was more implicit. Results therefore indicate that the use of traditional stimuli in research on sequence learning might underestimate the extent to which learning is implicit in domains such as social learning, contributing to ongoing debate about levels of conscious awareness in implicit learning."
"… COGNITION AS A SHARED RESOURCE: SEARCHING FOR A COMMON UNDERLYING IMPLICIT COGNITIVE STRUCTURE USING MULTIPLE IMPLICIT …","https://scispace.com/paper/nzsgnCaXzNwJ","","","","NE PAUTZ","","https://www.researchgate.net/profile/Nikolas-Pautz/publication/361738334_Implicit_cognition_as_a_shared_resource_searching_for_a_common_underlying_implicit_cognitive_structure_using_multiple_implicit_cognitive_measures/links/62c2cb87b5c35b75b39a86f4/Implicit-cognition-as-a-shared-resource-searching-for-a-common-underlying-implicit-cognitive-structure-using-multiple-implicit-cognitive-measures.pdf","… implicit learning – the low-chunk arm of the artificial grammar … The idea that there may be some individual differences in implicit … of implicit learning tasks are serial reaction time (SRT) …",""
"The neuroscience of implicit learning","https://scispace.com/paper/the-neuroscience-of-implicit-learning-1j4ifs0pla","2020","Journal Article","Language Learning","John N. Williams","10.1111/LANG.12405","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/lang.12405","… : artificial grammar learning (AGL), sequence learning, and … , individual differences and interactions with other learning … In the classic serial reaction time task (SRTT), participants see …",""
"The role of implicit learning in L2 morphosyntax: an artificial-grammar language learning experiment","https://scispace.com/paper/Ves7UPEs_N4J","","","","Y Yang","","https://ora.ox.ac.uk/objects/uuid:fbad95c8-dee5-4fb4-ace8-5fca013eadf8/files/dvh53ww606","… implicit learning (verbal reports and serial reaction time tasks)… This study combined trial-by-trial subjective measures with post-… L2 learners can implicitly learn a hidden rule of an artificial-…",""
"What have we learned? On implicit learning in ASD and SLI","https://scispace.com/paper/what-have-we-learned-on-implicit-learning-in-asd-and-sli-143e26zcy2","2018","Dissertation","","Fenny S. Zwart","","https://repository.ubn.ru.nl/bitstream/handle/2066/185125/185125.pdf","… explicit learning in SLI is supported by findings that grammar … This study investigated awareness in a Serial Reaction Time … were looking at the data in a trial-by-trial manner, we felt that …","A methodological challenge in implicit learning research is how to measure awareness. One solution is to decrease the gap between measures of ongoing task performance and measures of awareness. This study investigated awareness in a Serial Reaction Time task by analyzing response time (RT) drops, which have been found to reliably characterize awareness in other tasks. The present task consisted of a probabilistic part, in which awareness was expected to be low, and a deterministic part, in which awareness was expected to be high. Only the participants who were able to verbalize at least half of the learned sequence showed earlier and more RT drops in the deterministic compared to the probabilistic part. Furthermore, a strong positive correlation was found between RT drops and ability to verbalize. These findings support previous findings of RT drops as a reliable indicator of awareness. Future research could answer several methodological questions in order to increase the reliability and applicability of the method. In conclusion, the RT drop method is strongly related to verbal reports of awareness, and a promising method to establish awareness without relying on post-experimental tests. This could be particularly valuable for studying implicit learning and awareness in populations with communication difficulties, such as Autism Spectrum Disorder."
"Implicit learning of regularities followed by realistic body movements in virtual reality","https://scispace.com/paper/implicit-learning-of-regularities-followed-by-realistic-body-1y5ppon7","2022","Journal Article","Psychonomic Bulletin & Review","Răzvan Jurchiș
Zoltan Dienes","10.3758/s13423-022-02175-0","https://sussex.figshare.com/articles/journal_contribution/Implicit_learning_of_regularities_followed_by_realistic_body_movements_in_virtual_reality/23491721/1/files/41200007.pdf","… or intuitively anticipate the reaction of familiar persons based … , we adapted the Artificial Grammar Learning (AGL) task, and … of learning, we use a subjective, trial-by-trial, awareness …","The existence of implicit (unconscious) learning has been demonstrated in several laboratory paradigms. Researchers have also suggested that it plays a role in complex real-life human activities. For instance, in social situations, we may follow unconscious behaviour scripts or intuitively anticipate the reaction of familiar persons based on nonconscious cues. Still, it is difficult to make inferences about the involvement of implicit learning in realistic contexts, given that this phenomenon has been demonstrated, almost exclusively, using simple artificial stimuli (e.g., learning structured patterns of letters). In addition, recent analyses show that the amount of unconscious knowledge learned in these tasks has been overestimated by random measurement error. To overcome these limitations, we adapted the artificial grammar learning (AGL) task, and exposed participants (N = 93), in virtual reality, to a realistic agent that executed combinations of boxing punches. Unknown to participants, the combinations were structured by a complex artificial grammar. In a subsequent test phase, participants accurately discriminated novel grammatical from nongrammatical combinations, showing they had acquired the grammar. For measuring awareness, we used trial-by-trial subjective scales, and an analytical method that accounts for the possible overestimation of unconscious knowledge due to regression to the mean. These methods conjointly showed strong evidence for implicit and for explicit learning. The present study is the first to show that humans can implicitly learn, in VR, knowledge regarding realistic body movements, and, further, that implicit knowledge extracted in AGL is robust when accounting for its possible inflation by random measurement error. "
"Investigating Individual Differences in Implicit Learning","https://scispace.com/paper/sDWcUxJgGGIJ","","","","KR Thompson","","https://scholar.archive.org/work/hwpxrgqaprb3dnvde5ijp5rbny/access/wayback/https://arch.library.northwestern.edu/downloads/1j92g772f","… of word segmentation and grammatical structure) are thought … implicit sequence learning in the Serial Reaction Time (SRT) … Each model predicted percent correct on a trial-by-trial basis. …",""
"Neurocognitive mechanisms of statistical-sequential learning: what do event-related potentials tell us?","https://scispace.com/paper/neurocognitive-mechanisms-of-statistical-sequential-learning-2qqyzurb31","2014","Journal Article","Frontiers in Human Neuroscience","Jérôme Daltrozzo
Christopher M. Conway","10.3389/FNHUM.2014.00437","https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2014.00437/pdf","… Both statistical learning and implicit learning have been observed … Artificial grammar learning (AGL) paradigms, which … develop along different developmental trajectories (although our …","Statistical-sequential learning (SL) is the ability to process patterns of environmental stimuli, such as spoken language, music, or one’s motor actions, that unfold in time. The underlying neurocognitive mechanisms of SL and the associated cognitive representations are still not well understood as reflected by the heterogeneity of the reviewed cognitive models. The purpose of this review is: (1) to provide a general overview of the primary models and theories of SL, (2) to describe the empirical research - with a focus on the Event-Related Potential (ERP) literature - in support of these models while also highlighting the current limitations of this research, and (3) to present a set of new lines of ERP research to overcome these limitations. The review is articulated around three descriptive dimensions in relation to SL: the level of abstractness of the representations learned through SL, the effect of the level of attention and consciousness on SL, and the developmental trajectory of SL across the life-span. We conclude with a new tentative model that takes into account these three dimensions and also point to several promising new lines of SL research."
"Theories of artificial grammar learning.","https://scispace.com/paper/theories-of-artificial-grammar-learning-z6dj6o16vw","2007","Journal Article","Psychological Bulletin","Emmanuel M. Pothos","10.1037/0033-2909.133.2.227","https://www.researchgate.net/profile/Emmanuel-Pothos/publication/6467360_Theories_of_Artificial_Grammar_Learning/links/544f800e0cf26dda08915156/Theories-of-Artificial-Grammar-Learning.pdf","… Also related is the serial reaction time (SRT) task, in which … of knowledge we already have, whereas implicit learning … : Implicit knowledge is knowledge not consciously activated at the …","Artificial grammar learning (AGL) is one of the most commonly used paradigms for the study of implicit learning and the contrast between rules, similarity, and associative learning. Despite five decades of extensive research, however, a satisfactory theoretical consensus has not been forthcoming. Theoretical accounts of AGL are reviewed, together with relevant human experimental and neuroscience data. The author concludes that satisfactory understanding of AGL requires (a) an understanding of implicit knowledge as knowledge that is not consciously activated at the time of a cognitive operation; this could be because the corresponding representations are impoverished or they cannot be concurrently supported in working memory with other representations or operations, and (b) adopting a frequency-independent view of rule knowledge and contrasting rule knowledge with specific similarity and associative learning (co-occurrence) knowledge."
"The emergence of explicit knowledge in a serial reaction time task: The role of experienced fluency and strength of representation","https://scispace.com/paper/the-emergence-of-explicit-knowledge-in-a-serial-reaction-pkwkgugl50","2017","Journal Article","Frontiers in Psychology","Sarah Esser
Hilde Haider","10.3389/FPSYG.2017.00502","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2017.00502/pdf","… implicit learning processes: One is the Artificial Grammar … the opportunity to experience unexpected differences in their … assesses implicit knowledge without resorting to reaction times …","The Serial Reaction Time Task (SRTT) is an important paradigm to study the properties of unconscious learning processes. One specifically interesting and still controversially discussed topic are the conditions under which unconsciously acquired knowledge becomes conscious knowledge. The different assumptions about the underlying mechanisms can contrastively be separated into two accounts: single system views in which the strengthening of associative weights throughout training gradually turns implicit knowledge into explicit knowledge, and dual system views in which implicit knowledge itself does not become conscious. Rather, it requires a second process which detects changes in performance and is able to acquire conscious knowledge. In a series of three experiments, we manipulated the arrangement of sequential and deviant trials. In an SRTT training, participants either received mini-blocks of sequential trials followed by mini-blocks of deviant trials (22 trials each) or they received sequential and deviant trials mixed randomly. Importantly the number of correct and deviant transitions was the same for both conditions. Experiment 1 showed that both conditions acquired a comparable amount of implicit knowledge, expressed in different test tasks. Experiment 2 further demonstrated that both conditions differed in their subjectively experienced fluency of the task, with more fluency experienced when trained with mini-blocks. Lastly, Experiment 3 revealed that the participants trained with longer mini-blocks of sequential and deviant material developed more explicit knowledge. Results are discussed regarding their compatibility with different assumptions about the emergence of explicit knowledge in an implicit learning situation, especially with respect to the role of metacognitive judgements and more specifically the Unexpected-Event Hypothesis."
