"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Early lexical development of Finnish children: A longitudinal study","https://scispace.com/paper/early-lexical-development-of-finnish-children-a-longitudinal-4ra5keci3a","2008","Journal Article","Language","Suvi Stolt
Leena Haataja
Helena Lapinleimu
Liisa Lehtonen","10.1177/0142723708091051","https://helda.helsinki.fi/bitstreams/a50f75e4-dbe7-4aaa-b4f3-a69dbc7ec629/download","… occur when children have acquired roughly 20–40 words in … In the verb inflection system there is a subject-verb agreement… whether children actually went through a vocabulary spurt (ie, …","The growth rate and the development of the composition of the receptive and expressive lexicon were studied in a longitudinal sample of 35 Finnish children. The MacArthur Communicative Development Inventory was used to gather data of the receptive lexicon at 0;9, 1;0 and 1;3, and the expressive lexicon at 0;9, 1;0, 1;3, 1;6 and 2;0. The receptive lexicon was acquired earlier, at a faster rate and with higher individual variation than the expressive lexicon. A gender difference was found in expressive vocabulary, but not in receptive vocabulary. The growth trajectories of semantic lexical categories detected in both lexicons resembled each other. Verbs were acquired more readily in receptive lexicons. Results support a universal sequence in the development of the composition of the lexicon."
"A longitudinal study of the relationship between early language development and play development","https://scispace.com/paper/a-longitudinal-study-of-the-relationship-between-early-3yagq88iz5","1991","Journal Article","Journal of Child Language","Tamiko Ogura","10.1017/S0305000900011065","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0305000900011065","… subjects. There were temporal correspondences between … the vocabulary spurt, the development of success/failure words … study individual differences were found in the development …","Temporal correspondences between the attainment of specific milestones in play and language were examined through a longitudinal study of four Japanese children (aged 0;7 to 0;11 at the beginning of the study). There were developmental correspondences between the onset of six language landmarks (the emergence of first words, naming words, vocabulary spurts, word-chains, nonproductive two-word utterances, productive two-word utterances) and the onset of subcategories of play. Language and play both reflected the development of underlying symbolic ability, and both developed in a parallel manner at the single-word stage. After the emergence of word-chains, language and play developed interdependently. All the children proceeded through the same sequence of stages, but the rate of development was different depending on their environment."
"First words in the second year: Continuity, stability, and models of concurrent and predictive correspondence in vocabulary and verbal responsiveness across age and …","https://scispace.com/paper/OSJKVGTYe1IJ","","","","MH Bornstein
CS Tamis-LeMonda","","","… longitudinal study was designed to investigate multiple developmental aspects of young children's first words as used in spontaneous speech. … context as within-subjects variables, chil…",""
"Picking up speed in understanding: Speech processing efficiency and vocabulary growth across the 2nd year.","https://scispace.com/paper/picking-up-speed-in-understanding-speech-processing-3lw5wmsqoz","2006","Journal Article","Developmental Psychology","Anne Fernald
Amy Perfors
Virginia A. Marchman","10.1037/0012-1649.42.1.98","https://pmc.ncbi.nlm.nih.gov/articles/PMC3214591/pdf/nihms333831.pdf","… the time of the vocabulary spurt infants develop additional cognitive … the development of children's receptive language abilities from … This study provides the first longitudinal data on the …","To explore how online speech processing efficiency relates to vocabulary growth in the 2nd year, the authors longitudinally observed 59 English-learning children at 15, 18, 21, and 25 months as they looked at pictures while listening to speech naming one of the pictures. The time course of eye movements in response to speech revealed significant increases in the efficiency of comprehension over this period. Further, speed and accuracy in spoken word recognition at 25 months were correlated with measures of lexical and grammatical development from 12 to 25 months. Analyses of growth curves showed that children who were faster and more accurate in online comprehension at 25 months were those who showed faster and more accelerated growth in expressive vocabulary across the 2nd year."
"Vocabulary development in Italian children: A longitudinal evaluation of quantitative and qualitative aspects","https://scispace.com/paper/vocabulary-development-in-italian-children-a-longitudinal-4bpab56hys","2001","Journal Article","Journal of Child Language","Laura D'Odorico
Stefania Carubbi
Nicoletta Salerni
Vincenzo Calvo","10.1017/S0305000901004676","https://www.researchgate.net/profile/Vincenzo-Calvo/publication/11891587_Vocabulary_development_in_Italian_children_A_longitudinal_evaluation_of_quantitative_and_qualitative_aspects/links/0a85e530fb9626dcbc000000/Vocabulary-development-in-Italian-children-A-longitudinal-evaluation-of-quantitative-and-qualitative-aspects.pdf","… Cross-linguistic evidence of the vocabulary spurt in languages other than … will investigate individual differences in rate of vocabulary development and … characteristic of our subjects. …","In this study vocabulary development of a sample of 42 Italian children was evaluated through monthly administration of the Italian version of the CDI. Data collection started at 1;0-1;1 for 32 children and at 1;3-1;4 for the remaining subjects and continued until children's vocabulary reached 200 words. At fixed stages of vocabulary size (50, 100 and 200 words), individual differences in percentile scores and vocabulary composition were examined. Individual growth curves were analysed in order to verify the presence of a vocabulary spurt and the type of lexical items which contributed most to rapid acceleration in vocabulary growth. Stylistic differences in vocabulary composition were examined regarding the 'referential-expressive' distinction, controlling vocabulary size. Data have shown that general trends in vocabulary development are quite similar to those obtained for other languages using CDI adaptations. Moreover, all children in this sample eventually exhibited a vocabulary spurt, even if some can be defined as 'late spurters'. The type of lexical items which are learned during the spurt depend on both infant vocabulary size and referential score. About 28% of infants in this sample were defined 'referential' when their vocabulary size was about 50 words, but the stylistic differences disappeared at the 100- and 200-word stages. Composition of vocabulary did not differ in relation to precocity in reaching different stages of vocabulary development. The only exception was that infants who reached the 50-word stage first also had a vocabulary with a lower proportion of function words."
"A curvilinear trend in naming errors as a function of early vocabulary growth","https://scispace.com/paper/a-curvilinear-trend-in-naming-errors-as-a-function-of-early-44x73z00dn","1997","Journal Article","Cognitive Psychology","Lisa Gershkoff-Stowe
Linda B. Smith","10.1006/COGP.1997.0664","","… , we used a longitudinal design in Experiment 1. … of object words in early vocabulary growth and because our … For young children at the start of the vocabulary spurt, however, all …",""
"Commonality and individual differences in vocabulary growth","https://scispace.com/paper/commonality-and-individual-differences-in-vocabulary-growth-cyg0aacg01","2004","","","Philip Dale and Judith Goodman","10.4324/9781410611192-10","https://www.researchgate.net/profile/Philip-Dale-3/publication/313198654_Commonality_and_individual_differences_in_vocabulary_growth/links/5a1ee6a4458515a4c3d25a97/Commonality-and-individual-differences-in-vocabulary-growth.pdf","… enough to be used longitudinally with a substantial … -early-development-followed-by-a-vocabulary-spurt that the literature has taught us to expect, but one child began learning words …","We live in an era of high-tech everyday life. Computer chips can be found in 
automobiles, toys, washing machines and toasters. The study of language use 
and acquisition is no exception. Among the techniques currently in fashion 
are computerized analysis of language samples (MacWhinney, 2000), split 
video monitors with a soundtrack that matches one image for the study of 
language comprehension (Hirsh-Pasek & Golinkoff, 1996), evoked-potential 
recording to trace the division of labor between the two hemispheres in 
language processing (Mills, Coffey-Corina & Neville, 1997), magnetic 
resonance	 imaging	 (MRI)	 to	 identify	 the	 brain	 locus	 of	 specific	 aspects	 of	
language processing (Raichle, 1994), and molecular genetic techniques to 
identify	and	characterize	the	influence	of	specific	genes	on	language	(Plomin	
& Dale, 2000; Meaburn, Dale, Craig & Plomin, 2002)."
"Object naming, vocabulary growth, and the development of word retrieval abilities","https://scispace.com/paper/object-naming-vocabulary-growth-and-the-development-of-word-1x2dq6u2qw","2002","Journal Article","Journal of Memory and Language","Lisa Gershkoff-Stowe","10.1006/JMLA.2001.2830","","… individual words is related to the naming errors children produce. In this longitudinal study, there were two individual … children near the time of the vocabulary spurt. For both groups of …",""
"Toddlers' verb lexicon diversity and grammatical outcomes","https://scispace.com/paper/toddlers-verb-lexicon-diversity-and-grammatical-outcomes-2rh1ewcbdc","2016","Journal Article","Language Speech and Hearing Services in Schools","Pamela A. Hadley
Matthew Rispoli
Ning Hsu","10.1044/2015_LSHSS-15-0018","https://www.researchgate.net/profile/Pamela-Hadley/publication/291814124_Toddlers%27_Verb_Lexicon_Diversity_and_Grammatical_Outcomes/links/5a0df4930f7e9b7d4dba5641/Toddlers-Verb-Lexicon-Diversity-and-Grammatical-Outcomes.pdf","… for individual words, categories of words, or total vocabulary … for typically developing children followed longitudinally. This … of our longitudinal growth data with the cross-sectional data …","Purpose The goals of this study were to quantify longitudinal expectations for verb lexicon growth and to determine whether verb lexicon measures were better predictors of later grammatical outcome..."
"Vocabulary growth in late talkers: Lexical development from 2; 0 to 3; 0","https://scispace.com/paper/0g3emfId1fwJ","","","","L Rescorla
J Mirak
L Singh","","https://repository.brynmawr.edu/cgi/viewcontent.cgi?article=1008&context=psych_pubs","…  words at ;, had less of a vocabulary spurt when they … of the first  words acquired in her longitudinal vocabulary … report, a subject had to have at least two LDS data points, with …",""
