"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A comparison of concept learning ability in honeybees and bumblebees using matching-to-sample tasks","https://scispace.com/paper/mf8x-emu7BAJ","","","","R Willemet","","https://www.biorxiv.org/content/biorxiv/early/2026/02/03/2026.01.31.703063.full.pdf","… in both species after extensive training, transfer tests were omitted. … with a GAWA type individual bee selector (Willemet, 2025). … on same-different concept learning (Katz & Wright, 2021). …",""
"How a honey bee solves an abstract conceptual problem","https://scispace.com/paper/wtcu5aBmdn0J","","","","D Minors","","https://www.researchgate.net/profile/Dorian-Minors/publication/319108816_How_a_honey_bee_solves_an_abstract_conceptual_problem/links/5991a30b0f7e9b09ffb009a1/How-a-honey-bee-solves-an-abstract-conceptual-problem.pdf","… how bees might learn the MTS task and successfully transfer … In this analysis for each individual bee we had multiple … Two-item same-different concept learning in pigeons. Learning …",""
"Learning of abstract concepts and rules by the honeybee","https://scispace.com/paper/learning-of-abstract-concepts-and-rules-by-the-honeybee-4m27zjfo7r","2006","Journal Article","International Journal of Comparative Psychology","Shaowu Zhang","","https://escholarship.org/content/qt3nr4d3r6/qt3nr4d3r6.pdf","… transfer tests, the blue grating on the left wall made the bees … Then we tested the trained bees in transfer tests under novel … (2004a) investigated whether an individual bee could learn …","Despite the tiny brain of the honeybee, some remarkable higher cognitive functions have emerged from this assembly of about one million neurons. Work on the honeybee over the past decade is be- ginning to suggest that insects may not be the simple, reflexive creatures that they were once believed to be. Bees display perceptual and ""cognitive"" capacities that are surprisingly rich, complex and flexible. This article reviews the recent progress on the honeybee's ability to learn and use abstract rules and concepts, to categorize visual objects in various ways, and to memorize task-specific infor- mation while navigating through their environment. This review is not intended to be exhaustive. Rather, it highlights important advances in our understanding of the processes underlying the bee's remarkable behaviors. The worker honeybee possesses a tiny brain that occupies a volume of about one cubic millimeter, weighs about one milligram and contains not more than a million neurons. Nevertheless, this creature, by virtue of its lifestyle, is a spectacu- larly suitable organism for studying the principles of pattern recognition and navi- gation, as well as of learning in a more general sense (von Frisch, 1971, 1993; Menzel, 1990). Gathering nectar and pollen is the raison d'etre of a forager's exis- tence. Since the species of flowers that are in bloom, say, this week are likely to be replaced by a different species at a different location next week, the bee needs, and has indeed evolved, an impressive ability to learn colors, odors, shapes and routes quickly and accurately (Chittka, Vorobyev, Shmida, & Menzel 1993; Lehrer, Hor- ridge, Zhang, & Gadagkar, 1995; Vorobyev & Menzel, 1999; Wehner, 1981). A bee can learn a new odor in just a few visits, a new color in about half an hour (af- ter it has made about five visits to collect a food reward), a new pattern in about half a day (after 20-30 rewarded visits), and a new route to a food source in about 3-4 visits (provided the route is not through a complex labyrinth). The underlying navigational skills that make this learning possible require extensive, perceptual, information processing, and storage mechanisms which, in turn, allow bees to dis- play perceptual and ""cognitive"" abilities that are surprisingly rich, complex and flexible (Collett & Collett, 2002; Giurfa, 2003; Menzel & Muller, 1996; Srinivasan & Zhang, 1998, Zhang & Srinivasan, 2004a, 2004b). The present article reviews recent studies that have challenged the percep- tual capacities of honeybees by asking if bees can, for instance, learn abstract rules by which to navigate mazes, learn and generalize abstract concepts, categorize complex visual objects, or acquire and memorize task-specific information when faced with a complex problem. This review discusses some key examples of recent"
"Free-flying honeybees extrapolate relational size rules to sort successively visited artificial flowers in a realistic foraging situation","https://scispace.com/paper/free-flying-honeybees-extrapolate-relational-size-rules-to-3xkf9sn22c","2017","Journal Article","Animal Cognition","Scarlett R. Howard
Scarlett R. Howard
Aurore Avarguès-Weber
Jair E. Garcia
Adrian G. Dyer
Adrian G. Dyer","10.1007/S10071-017-1086-6","https://www.researchgate.net/profile/Aurore-Avargues-Weber/publication/315791541_Free-flying_honeybees_extrapolate_relational_size_rules_to_sort_successively_visited_artificial_flowers_in_a_realistic_foraging_situation/links/59d2322d0f7e9b4fd7fc698b/Free-flying-honeybees-extrapolate-relational-size-rules-to-sort-successively-visited-artificial-flowers-in-a-realistic-foraging-situation.pdf","… An individual bee was recruited from the gravity feeder and trained to visit the experimental apparatus. Each bee … explanation mediating bee decisions in our two respective transfer tests …","Learning and applying relational concepts to solve novel tasks is considered an indicator of cognitive-like ability. It requires the abstraction of relational concepts to different objects independent to the physical nature of the individual objects. Recent research has revealed the honeybee's ability to rapidly learn and manipulate relations between visual stimuli such as 'same/different', 'above/below', or 'larger/smaller' despite having a miniature-sized brain. While honeybees can solve problems using rule-based relative size comparison, it remains unresolved as to whether bees can apply size rules when stimuli are encountered successively, which requires reliance on working memory for stimuli comparison. Additionally, the potential ability of bees to extrapolate acquired information to novel sizes beyond training sets remains to be investigated. We tested whether individual free-flying honeybees could learn 'larger/smaller' size rules when visual stimuli were presented successively, and whether such rules could then be extrapolated to novel stimulus sizes. Honeybees were individually trained to a set of four sizes such that individual elements might be correct, or incorrect, depending upon the alternative stimulus. In a learning test, bees preferred the correct size relation for their respective learning group. Bees were also able to successfully extrapolate the learnt relation during transfer tests by maintaining the correct size relationships when considering either two smaller, or two larger, novel stimulus sizes. This performance demonstrates that an insect operating in a complex environment has sufficient cognitive capacity to learn rules that can be abstracted to novel problems. We discuss the possible learning mechanisms which allow their success."
"Conceptualization of above and below relationships by an insect","https://scispace.com/paper/conceptualization-of-above-and-below-relationships-by-an-4d29xtzg50","2011","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Aurore Avarguès-Weber
Adrian G. Dyer
Martin Giurfa
Martin Giurfa","10.1098/RSPB.2010.1891","","… The transfer-test target had not been used during the training and was thus … individual bee (figure 1a). The stimulus selected as the transfer-test target varied randomly between bees. …","Relational rules such as ‘same’ or ‘different’ are mastered by humans and non-human primates and are considered as abstract conceptual thinking as they require relational learning beyond perceptual generalization. Here, we investigated whether an insect, the honeybee (Apis mellifera), can form a conceptual representation of an above/below spatial relationship. In experiment 1, bees were trained with differential conditioning to choose a variable target located above or below a black bar that acted as constant referent throughout the experiment. In experiment 2, two visual stimuli were aligned vertically, one being the referent, which was kept constant throughout the experiment, and the other the target, which was variable. In both experiments, the distance between the target and the referent, and their location within the visual field was systematically varied. In both cases, bees succeeded in transferring the learned concept to novel stimuli, preserving the trained spatial relation, thus showing an ability to manipulate this relational concept independently of the physical nature of the stimuli. Absolute location of the referent into the visual field was not a low-level cue used by the bees to solve the task. The honeybee is thus capable of conceptual learning despite having a miniature brain, showing that such elaborated learning form is not a prerogative of vertebrates."
"Oddity learning in honeybees (Apis mellifera)","https://scispace.com/paper/7rmjinrtPQkJ","","","","NM Muszynski","","https://scholarspace.manoa.hawaii.edu/bitstreams/36e1e209-e3a6-4807-bde6-28211f8af26f/download","… Depending on an individual bee’s assignment, the correct choice … positive transfer, however, it could be argued that the bees … Mechanisms of same/different concept learning in primates …",""
"Same/different discrimination by bumblebee colonies","https://scispace.com/paper/same-different-discrimination-by-bumblebee-colonies-3s40u0f404","2013","Journal Article","Animal Cognition","Michael F. Brown
Justin M. Sayde","10.1007/S10071-012-0557-Z","https://www.academia.edu/download/50812192/s10071-012-0557-z20161210-6772-16u9r2b.pdf","… ) report that honeybees demonstrate immediate transfer of … In training trials, an individual bee flew into a chamber where it was … of transfer of identity and oddity discrimination by bees in …","Bumblebees were exposed to a discrimination procedure in which reinforcement was contingent on choice of one of two spatial locations. The correct choice depended on whether a stimulus display contained two identical stimuli or two different stimuli. Some bees were trained with color stimuli and tested with line grating stimuli and others with the opposite arrangement. Four colonies of bumblebees produced more correct than incorrect choices to both identical and different stimuli during the transfer phase. This pattern of results is a signature of choices under control of an identity (“same/different”) concept. The results therefore indicate the existence of an identity concept in bumblebees."
"Similar but Different: How Foraging Bumblebees ('Bombus Impatiens') Treat Flowers and Pictures of Flowers","https://scispace.com/paper/similar-but-different-how-foraging-bumblebees-bombus-2gnzdve8mo","2016","Dissertation","","Emma Thompson","10.20381/RUOR-5023","https://ruor.uottawa.ca/bitstreams/3d83979f-4588-4ff9-9ea2-fba07c514b6e/download","… individual bee has acquired some experience in successful foraging, and reward is otherwise unpredictable without the use of the cue. Bees … including ‘same-different’ concept learning (…",""
"High-speed videography reveals how honeybees can turn a spatial concept learning task into a simple discrimination task by stereotyped flight movements and …","https://scispace.com/paper/HL36s0TC4f4J","","","","M Guiraud
M Roper
L Chittka","","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2018.01347/pdf","… bees' behavior toward the stimuli during the training impacted their learning abilities, and subsequent transfer … from a distance, and indeed one individual bee in our study achieved 90% …",""
"How images may or may not represent flowers: picture–object correspondence in bumblebees (Bombus impatiens)?","https://scispace.com/paper/how-images-may-or-may-not-represent-flowers-picture-object-3eai5ztyxk","2014","Journal Article","Animal Cognition","Emma L. Thompson
C.M.S. Plowright","10.1007/S10071-014-0733-4","","… by low-level feature matching, but transfer is poor with degraded … Despite evidence that bees exhibit some transfer while … met prior to testing for each individual bee. First, an individual …","Studies of bee cognition frequently use two-dimensional stimuli referred to as floral patterns, and yet how bees perceive pictorial representations is not known. An investigation of bumblebee (Bombus impatiens) picture–object correspondence was undertaken according to the theory of Fagot et al. (Picture perception in animals. Psychology Press Ltd, East Sussex, pp 295–320, 2000) that pictures and objects may be confused, perceived as independent or equivalent. In three experiments, bumblebees were given discrimination training and unrewarded testing in a radial maze. In the first experiment, preferences between artificial flowers and photographs of those flowers revealed a significant learned preference for the stimulus rewarded during training: no confusion following training. In the second experiment, bees did transfer learning from artificial flowers to photographs: some commonality between an object and photograph was perceived. In the third experiment, bees spontaneously generalized a learned preference for one artificial flower to its silhouette, but only for one of two flowers used in training. No generalization was obtained to drawn images. Some transfer between image and object is exhibited, likely by low-level feature matching, but transfer is poor with degraded images, cautioning against extrapolation of picture-based responding to natural correspondents. Despite evidence that bees exhibit some transfer while retaining discrimination, it is likely that the observed response is due to generalization more akin to confusion than true equivalence. Furthermore, although 2D patterning cues (line, edge and shade) provide discriminable cues for bees between 2D stimuli, it is not here supported that such features are perceived as equivalent to the intended floral structures."
