"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Contrasting styles in cognition and behaviour in bumblebees and honeybees.","https://scispace.com/paper/contrasting-styles-in-cognition-and-behaviour-in-bumblebees-3u1i3duvpp","2015","Journal Article","Behavioural Processes","David F. Sherry
Caroline G. Strang","10.1016/J.BEPROC.2014.09.005","https://ir.lib.uwo.ca/cgi/viewcontent.cgi?article=1181&context=psychologypub","","increasingly difficult by moving the target stimuli closer to the reference line until in the most difficult discrimination the targets overlapped the reference line and the two stimuli were indistinguishable. Bees were trained with one set of targets and tested with novel targets. Metacognition:
 The results showed that some bees chose to opt out more when the discriminations were hard and that they performed better when they elected to take a test than when they were forced to take a test. The results are interesting, but the authors admit that they are consistent with other proposed associative learning explanations for success on metacognition tasks. Stimuli consisting of targets near or overlapping the reference line could become associated with a high probability of punishment, leading to avoidance of both stimuli and a choice to opt out on such trials. Metacognition:
 Sensitivity to the ability to solve a problem is not without precedent in honeybees however. The natural turn back and look behaviour, mentioned earlier, that honeybees perform to gather navigational information is highly flexible and bees change the duration of their learning flights depending on their need for information . Turn back and look is different from what is generally considered metacognition , but it does provide support for the idea that honeybees are sensitive to the amount of information they possess and when to gather more. Conclusions:
 Given the differences in social organization and foraging between bumblebees and honeybees, we might expect there to be differences in what they can learn and remember and how accurately they can remember it. From the evidence that is available, bumblebees seem to be better at serial reversal learning than honeybees. This indicates that bumblebees are more behaviourally flexible and can better adjust their behaviour to changing reward contingencies. This conforms to what might be expected if bumblebees, as individual foragers, are more likely to have to solve the problem of changing floral reward contingencies themselves, compared to honeybees that are guided by information about floral reward acquired in the hive. This is also consistent with the observation of greater floral constancy in honeybees. Subsequent experiments may, of course, show that honeybees are better at serial reversal learning than the present evidence suggests, but flexibility and reversal learning seem promising topics for further comparative research on bee cognition. Conclusions:
 Bumblebees, at least in our lab, seem stubbornly unable to solve delayed matching-to-sample tasks. This may depend on how well our task conformed to bumblebee perceptual abilities and motivation but there does, nevertheless, seem to be a difference between the ease with which honeybees and bumblebees learn to match to a previously presented visual stimulus. In other contexts, bumblebees are capable of recognizing stimuli they have previously encountered and so the apparent difference in performance between honeybees and bumblebees on this simple task merits further investigation. Conclusions:
 Honeybees are capable of learning relational concepts. It is not known whether individual bumblebees can also learn concepts like same/different or above/below. Observation of groups of bumblebees indicate they will make choices consistent with having learned a same/different concept and further examination of concept learning in both honeybees and bumblebees would be valuable."
"Individual consistency in the learning abilities of honey bees: cognitive specialization within sensory and reinforcement modalities","https://scispace.com/paper/individual-consistency-in-the-learning-abilities-of-honey-1e53ybrc","2023","Journal Article","Animal Cognition","Valerie Finke
Ricarda Scheiner
Martin Giurfa
Aurore Avarguès-Weber","10.1007/s10071-022-01741-2","https://scispace.com/pdf/individual-consistency-in-the-learning-abilities-of-honey-1e53ybrc.pdf","The question of whether individuals perform consistently across a variety of cognitive tasks is relevant for studies of comparative cognition. The honey bee (Apis mellifera) is an appropriate model to study cognitive consistency as its learning can be studied in multiple elemental and non-elemental learning tasks. We took advantage of this possibility and studied if the ability of honey bees to learn a simple discrimination correlates with their ability to solve two tasks of higher complexity, reversal learning and negative patterning. We performed four experiments in which we varied the sensory modality of the stimuli (visual or olfactory) and the type (Pavlovian or operant) and complexity (elemental or non-elemental) of conditioning to examine if stable correlated performances could be observed across experiments. Across all experiments, an individual's proficiency to learn the simple discrimination task was positively and significantly correlated with performance in both reversal learning and negative patterning, while the performances in reversal learning and negative patterning were positively, yet not significantly correlated. These results suggest that correlated performances across learning paradigms represent a distinct cognitive characteristic of bees. Further research is necessary to examine if individual cognitive consistency can be found in other insect species as a common characteristic of insect brains. ","may be due to individual differences in neuronal circuits specialized in these different tasks. While the mushroom bodies are necessary for acquiring non-elemental olfactory tasks both in a negative patterning paradigm and a reversal learning problem , the specific neurons involved may be different. Discussion:
 An intriguing perspective of our findings is why stable individual differences in learning proficiency would be maintained within colonies. One potential explanation relies on the potential costs of cognitive functions ): One could hypothesize that increased ability for a cognitive trait might trade-off against the ability for another trait . Consequently, different cognitive abilities in different individuals could lead to task specialization or specific adaptation to given environmental conditions. However, it remains understudied whether and to what extent inter-individual cognitive variability contributes to fitness and survival of animals . It is often assumed that a mixture of individual strategies in behavioral traits could influence the flexibility of colonies to react to changing environmental conditions . However, evidence supporting that inter-individual variability in learning performance among workers accounts for differences in their foraging success or their foraging behavior (e.g. scouts and recruits; ) are still lacking. In bumble bees, colony variation in learning speed in an elemental visual discrimination task was correlated with their foraging success under natural conditions . However,  found that fast and slow bumble bee learners had comparable rates of food collection and even that bees with higher learning proficiency foraged for shorter periods compared to those with lower learning abilities. These results might be the consequence of higher metabolic costs of increased learning proficiency. In any case, more research is thus necessary to link the cognitive abilities of individuals and their level of variability within a hive to their foraging performance (i.e. amount of food resources collected) in the field and under different scenarios of resources availability and distribution. Discussion:
 Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http:// creat iveco mmons. org/ licen ses/ by/4. 0/. Acknowledgements This study was supported by the French National Research Center (CNRS), the University Paul Sabatier and the University of Würzburg. VF was supported by doctoral scholarships of the German Academic Scholarship Foundation and the Gender Equality Academy Scientia of the University of Würzburg. MG was funded by an European Research Council Advanced Grant ""Cognibrains"". We thank the beekeeper of the University of Würzburg Dirk Ahrens and the beekeeper of the University Paul Sabatier Olivier Fernandez for providing and maintaining the honey bee colonies according to standard beekeeping practice."
"Conceptualization of relative size by honeybees.","https://scispace.com/paper/conceptualization-of-relative-size-by-honeybees-1fzzl8txtt","2014","Journal Article","Frontiers in Behavioral Neuroscience","Aurore Avarguès-Weber
Daniele d’Amaro
Marita Metzler
Adrian G. Dyer","10.3389/FNBEH.2014.00080","https://scispace.com/pdf/conceptualization-of-relative-size-by-honeybees-1fzzl8txtt.pdf","The ability to process visual information using relational rules allows for decisions independent of the specific physical attributes of individual stimuli. Until recently, the manipulation of relational concepts was considered as a prerogative of large mammalian brains. Here we show that individual free flying honeybees can learn to use size relationship rules to choose either the larger or smaller stimulus as the correct solution in a given context, and subsequently apply the learnt rule to novel colors and shapes providing that there is sufficient input to the long wavelength (green) photoreceptor channel. Our results add a novel, size-based conceptual rule to the set of relational concepts that honeybees have been shown to master and underline the value of bees as an animal model for studying the emergence of conceptualization abilities.","Title: Conceptualization of relative size by honeybees Authors: Aurore Avarguès-Weber,Daniele D'amaro,Marita Metzler,Adrian G Dyer (Corresponding Author) Keywords: relational concept learning, relative size, long wavelength photoreceptor, honeybee, Apis mellifera"
"High-Speed Videography Reveals How Honeybees Can Turn a Spatial Concept Learning Task Into a Simple Discrimination Task by Stereotyped Flight Movements and Sequential Inspection of Pattern Elements.","https://scispace.com/paper/high-speed-videography-reveals-how-honeybees-can-turn-a-cuo83lj0cy","2018","Journal Article","Frontiers in Psychology","Marie Guiraud
Mark Roper
Lars Chittka","10.3389/FPSYG.2018.01347","https://scispace.com/pdf/high-speed-videography-reveals-how-honeybees-can-turn-a-cuo83lj0cy.pdf","Honey bees display remarkable visual learning abilities, providing insights regarding visual information processing in a miniature brain. It was recently discovered that bees can solve a task that is generally viewed as spatial concept learning in primates, specifically the concept of ‘above’ and ‘below’. In these works, two pairs of visual stimuli were shown in the two arms of a Y-maze. Each arm displayed a ‘referent’ shape (e.g. a cross, or a horizontal line) and a second geometric shape that appeared either above or below the referent. Bees learning the “concept of aboveness” had to choose the arm of the Y-maze in which a shape – any shape - occurred above the referent, while those learning the “concept of belowness” had to pick the arm in which there was an arbitrary item beneath the referent. Here, we explore the sequential decision-making process that allows bees to solve this task by analyzing their flight trajectories inside the Y-maze. Over 400 hours of high-speed video footage of the bees’ choice strategies were analyzed in detail. With odor cues made unavailable, many bees failed the task, and, with the possible exception of a single forager, bees as a group failed to reach significance in picking the correct arm from the decision chamber of the maze. Of those bees that succeeded in choosing correctly, most required a close-up inspection of the targets. These bees typically employed a close-up scan of only the bottom part of the pattern before taking the decision of landing on a feeder. When rejecting incorrect feeders, they repeatedly scanned the pattern features, but were still, on average, faster at completing the task than the non-leaners. This shows that solving a concept learning task could actually be mediated by turning it into a more manageable discrimination task by some animals, although one individual in this study appeared to have gained the ability (by the end of the training) to solve the task in a manner predicted by concept learning.","Title: High-Speed Videography Reveals How Honeybees Can Turn a Spatial Concept Learning Task Into a Simple Discrimination Task by Stereotyped Flight Movements and Sequential Inspection of Pattern Elements Authors: Lars Chittka (Corresponding Author),Marie Guiraud,Mark Roper Keywords: active vision, Apis mellifera, cognition, feature detection, local features, video tracking, visual learning"
"Abstract-concept learning in Black-billed magpies (Pica hudsonia).","https://scispace.com/paper/abstract-concept-learning-in-black-billed-magpies-pica-2qwa6ll61i","2017","Journal Article","Psychonomic Bulletin & Review","John F. Magnotti
Anthony A. Wright
Kevin Leonard
Jeffrey S. Katz
Debbie M. Kelly","10.3758/S13423-016-1132-4","https://scispace.com/pdf/abstract-concept-learning-in-black-billed-magpies-pica-2qwa6ll61i.pdf","relational concepts depend upon relationships between stimuli (e.g., same vs. different) and transcend features of the training stimuli. Recent evidence shows that learning abstract concepts is shared across a variety species including birds. Our recent work with a highly-skilled food-storing bird, Clark's nutcracker, revealed superior same/different abstract-concept learning compared to rhesus monkeys, capuchin monkeys, and pigeons. Here we test a more social, but less reliant on food-storing, corvid species, the Black-billed magpie (Pica hudsonia). We used the same procedures and training exemplars (eight pairs of the same rule, and 56 pairs of the different rule) as were used to test the other species. Magpies (n = 10) showed a level of abstract-concept learning that was equivalent to nutcrackers and greater than the primates and pigeons tested with these same exemplars. These findings suggest that superior initial abstract-concept learning abilities may be shared across corvids generally, rather than confined to those strongly reliant on spatial memory.","for flocking and processing dominance hierarchies, which requires relational processing . Additionally, magpies, but not nutcrackers, are common victims of brood parasites, but have excellent ability to recognize their own eggs from the eggs of another species . Discussion:
 A possible perceptual explanation for novel transfer Accurate transfer of a learned rule to novel stimuli is the gold standard of abstract-concept learning. However, perceptualbased strategies have also been proposed to account for transfer to novel stimuli. A prominent hypothesis, known as translational symmetry, suggests that transfer performance is controlled by the perceptual symmetry that exists on same trials, but is not present on different trials. When this symmetry is present, subjects respond to the lower picture, otherwise they default to the different choice. Although not directly addressed by the current data, we have previously explored this theory in detail using subjects trained in the identical procedure.  trained pigeons using the current same/different procedure and, once the subjects showed full concept learning, they were transferred to a delayed same/ different task. In this task, the sample stimulus is removed following the observing response, and then comparison stimulus and white box (different choice) are presented after a variable delay (from 0 s to 6 s). If behavior was controlled by a perceptual feature, the translational symmetry hypothesis predicts that performance on same trials should decrease with increasing delay as the perceptual feature is made more difficult to extract, but performance on different trials should remain unchanged across delays-a statistical interaction between trial type and delay. Counter to this prediction, performance on same and different trials showed a similar pattern across delay. Translational-symmetry has also been experimentally rejected as an explanation for the nonhuman primate results in similar procedures . In the absence of evidence to the contrary, we suggest that the species tested here, Blackbilled magpies (Pica hudsonia), learn the same/different procedure using a similar strategy to the pigeons previously tested. Future directions:
 Future directions include determining how the magpies' abstract-concept learning might change with expansion of the training stimulus set. Our expectation is that all magpies will eventually show full concept learning, as did monkeys, pigeons, and nutcrackers . Such a result would demonstrate qualitative similarity across these species. Also of importance are quantitative differences in transfer increases and the set size that produces full concept learning, particularly in comparison to nutcrackers because both these species come from the same branch (family Corvidae) of the evolutionary tree. A quantitative difference might reflect differences in ecological demands, evolutionary differences, and/ or neural-architectural differences, whereas quantitative similarity would point to the common fundamental aspect of relational concept learning-to fully generalize a fundamental abstract concept such as same versus different. Acknowledgments The authors are grateful Danial Peirson, Dawson Clary, and Eric Platt for their help in data collection. This research was supported by a Natural Sciences and Engineering Research Council of Canada (NSERC) grant to DMK."
"Abstract concept learning in a simple neural network inspired by the insect brain","https://scispace.com/paper/abstract-concept-learning-in-a-simple-neural-network-z5xd6lhds5","2018","Posted Content","bioRxiv","Alex Cope
Eleni Vasilaki
Dorian Minors
Chelsea Sabo
James A. R. Marshall
Andrew B. Barron","10.1101/268375","https://scispace.com/pdf/abstract-concept-learning-in-a-simple-neural-network-z5xd6lhds5.pdf","The capacity to learn abstract concepts such as 9sameness9 and 9difference9 is considered a higher-order cognitive function, typically thought to be dependent on top-down neocortical processing. It is therefore surprising that honey bees apparantly have this capacity. Here we report a model of the structures of the honey bee brain that can learn sameness and difference, as well as a range of complex and simple associative learning tasks. Our model is constrained by the known connections and properties of the mushroom body, including the protocerebral tract, and provides a good fit to the learning rates and performances of real bees in all tasks, including learning sameness and difference. The model proposes a novel mechanism for learning the abstract concepts of 9sameness9 and 9difference9 that is compatible with the insect brain, and is not dependent on top-down or executive control processing.","neural activity between these selective PFC neurons and lower-order neural mechanisms could support such time independence. Language-trained primates did particularly well on complex identity matching tasks and the ability to form a language-related mental representation of a concept might be the reason . Discussion:
 Wright and Katz  have utilised a more elaborate form of a MTS task in which vertebrates simultaneously learn to respond to sameness and difference, and are trained with large sets of stimuli rather than just two. They argue this gives less-ambiguous evidence of true concept learning since both sameness and difference are learned during training, and the large size of the training stimulus set encourages true generalisation of the concept. In theory our model could also solve this form of task, but it is unlikely a honey bee could. Capuchins, rhesus and pigeons required hundreds of learning trials to learn and generalise the sameness and difference concepts . Bees would not live long enough to complete this training, Finally as a consequence of our model we question whether it is necessary to consider abstract concept learning to be a higher cognitive process. Mechanisms necessary to support it may not be much more complex than those needed for simple associative learning. This is important because many behavioural scientists still adhere to something like Lloyd Morgan's Canon , which proposes that ""in no case is an animal activity to be interpreted in terms of higher psychological processes if it can be fairly interpreted in terms of processes which stand lower in the scale of psychological evolution and development"" ([59] p59). Yet the Canon is therefore reliant on an unambiguous stratification of cognitive processes according to evolutionary history and development . If abstract concept learning is in fact developmentally quite simple, evolutionarily old and phylogenetically widespread, then Morgan's Canon would simply beg the question of why even more animals do not have this capacity . We argue that far more information on the precise neural mechanisms of different cognitive processes, and the distribution of cognitive abilities across animal groups, is needed in order to properly rank capacities as higher or lower. In other words, so-called higher cognitive processes may be solved by relatively simple structures. Model parameter selection:
 Many of the parameters of the model were fixed by the neuroanatomy of the honey bee, as well as the previous values and procedures described in , with the following modifications. Model parameter selection:
 First, we increased the sparseness of the connectivity from the PN to the KC. Second, the reduction in the magnitude of the KC output to repeated stimuli was tuned to replicate the magnitude of reduction described in . Model parameter selection:
 Third, the learning rates were set so that acquisition of a single stimulus is rapid. In addition there are two ratios from this initial value that must be set. These are the ratio of the speed of excitatory associative learning in the Kenyon Cell to Extrinsic Neuron pathway to the inhibitory learning in the Protocerebellar Tract to Extrinsic Neuron pathway, and the ratio of the speed of acquisition when rewarded to the speed to extinction when no reward is given. We conservatively set both of these ratios to 2:1, with excitatory learning faster than inhibitory learning, and extinction faster than acquisition. The learning parameters used in the reduced model are used in the fitting of the full model. Model parameter selection:
 Finally, we tuned the threshold value for the PCT neurons so that they only responded to a new stimulus, and not a repeated one."
"Abstract concept learning in a simple neural network inspired by the insect brain","https://scispace.com/paper/abstract-concept-learning-in-a-simple-neural-network-3jc4xlxxt6","2018","Journal Article","PLOS Computational Biology","Alex Cope
Eleni Vasilaki
Dorian Minors
Chelsea Sabo
James A. R. Marshall
Andrew B. Barron","10.1371/JOURNAL.PCBI.1006435","https://scispace.com/pdf/abstract-concept-learning-in-a-simple-neural-network-3jc4xlxxt6.pdf","The capacity to learn abstract concepts such as 'sameness' and 'difference' is considered a higher-order cognitive function, typically thought to be dependent on top-down neocortical processing. It is therefore surprising that honey bees apparantly have this capacity. Here we report a model of the structures of the honey bee brain that can learn sameness and difference, as well as a range of complex and simple associative learning tasks. Our model is constrained by the known connections and properties of the mushroom body, including the protocerebral tract, and provides a good fit to the learning rates and performances of real bees in all tasks, including learning sameness and difference. The model proposes a novel mechanism for learning the abstract concepts of 'sameness' and 'difference' that is compatible with the insect brain, and is not dependent on top-down or executive control processing.","neural activity between these selective PFC neurons and lower-order neural mechanisms could support such time independence. Language-trained primates did particularly well on complex identity matching tasks and the ability to form a language-related mental representation of a concept might be the reason . Discussion:
 Wright and Katz  have utilised a more elaborate form of a MTS task in which vertebrates simultaneously learn to respond to sameness and difference, and are trained with large sets of stimuli rather than just two. They argue this gives less-ambiguous evidence of true concept learning since both sameness and difference are learned during training, and the large size of the training stimulus set encourages true generalisation of the concept. In theory our model could also solve this form of task, but it is unlikely a honey bee could. Capuchins, rhesus and pigeons required hundreds of learning trials to learn and generalise the sameness and difference concepts . Bees would not live long enough to complete this training, Finally as a consequence of our model we question whether it is necessary to consider abstract concept learning to be a higher cognitive process. Mechanisms necessary to support it may not be much more complex than those needed for simple associative learning. This is important because many behavioural scientists still adhere to something like Lloyd Morgan's Canon , which proposes that ""in no case is an animal activity to be interpreted in terms of higher psychological processes if it can be fairly interpreted in terms of processes which stand lower in the scale of psychological evolution and development"" ([59] p59). Yet the Canon is therefore reliant on an unambiguous stratification of cognitive processes according to evolutionary history and development . If abstract concept learning is in fact developmentally quite simple, evolutionarily old and phylogenetically widespread, then Morgan's Canon would simply beg the question of why even more animals do not have this capacity . We argue that far more information on the precise neural mechanisms of different cognitive processes, and the distribution of cognitive abilities across animal groups, is needed in order to properly rank capacities as higher or lower. In other words, so-called higher cognitive processes may be solved by relatively simple structures. Model parameter selection:
 Many of the parameters of the model were fixed by the neuroanatomy of the honey bee, as well as the previous values and procedures described in , with the following modifications. Model parameter selection:
 First, we increased the sparseness of the connectivity from the PN to the KC. Second, the reduction in the magnitude of the KC output to repeated stimuli was tuned to replicate the magnitude of reduction described in . Model parameter selection:
 Third, the learning rates were set so that acquisition of a single stimulus is rapid. In addition there are two ratios from this initial value that must be set. These are the ratio of the speed of excitatory associative learning in the Kenyon Cell to Extrinsic Neuron pathway to the inhibitory learning in the Protocerebellar Tract to Extrinsic Neuron pathway, and the ratio of the speed of acquisition when rewarded to the speed to extinction when no reward is given. We conservatively set both of these ratios to 2:1, with excitatory learning faster than inhibitory learning, and extinction faster than acquisition. The learning parameters used in the reduced model are used in the fitting of the full model. Model parameter selection:
 Finally, we tuned the threshold value for the PCT neurons so that they only responded to a new stimulus, and not a repeated one."
"Learning of Abstract Concepts and Rules by the Honeybee","https://scispace.com/paper/learning-of-abstract-concepts-and-rules-by-the-honeybee-4m27zjfo7r","2006","Journal Article","International Journal of Comparative Psychology","Shaowu Zhang","","https://scispace.com/pdf/learning-of-abstract-concepts-and-rules-by-the-honeybee-4m27zjfo7r.pdf","Despite the tiny brain of the honeybee, some remarkable higher cognitive functions have emerged from this assembly of about one million neurons. Work on the honeybee over the past decade is be- ginning to suggest that insects may not be the simple, reflexive creatures that they were once believed to be. Bees display perceptual and ""cognitive"" capacities that are surprisingly rich, complex and flexible. This article reviews the recent progress on the honeybee's ability to learn and use abstract rules and concepts, to categorize visual objects in various ways, and to memorize task-specific infor- mation while navigating through their environment. This review is not intended to be exhaustive. Rather, it highlights important advances in our understanding of the processes underlying the bee's remarkable behaviors. The worker honeybee possesses a tiny brain that occupies a volume of about one cubic millimeter, weighs about one milligram and contains not more than a million neurons. Nevertheless, this creature, by virtue of its lifestyle, is a spectacu- larly suitable organism for studying the principles of pattern recognition and navi- gation, as well as of learning in a more general sense (von Frisch, 1971, 1993; Menzel, 1990). Gathering nectar and pollen is the raison d'etre of a forager's exis- tence. Since the species of flowers that are in bloom, say, this week are likely to be replaced by a different species at a different location next week, the bee needs, and has indeed evolved, an impressive ability to learn colors, odors, shapes and routes quickly and accurately (Chittka, Vorobyev, Shmida, & Menzel 1993; Lehrer, Hor- ridge, Zhang, & Gadagkar, 1995; Vorobyev & Menzel, 1999; Wehner, 1981). A bee can learn a new odor in just a few visits, a new color in about half an hour (af- ter it has made about five visits to collect a food reward), a new pattern in about half a day (after 20-30 rewarded visits), and a new route to a food source in about 3-4 visits (provided the route is not through a complex labyrinth). The underlying navigational skills that make this learning possible require extensive, perceptual, information processing, and storage mechanisms which, in turn, allow bees to dis- play perceptual and ""cognitive"" abilities that are surprisingly rich, complex and flexible (Collett & Collett, 2002; Giurfa, 2003; Menzel & Muller, 1996; Srinivasan & Zhang, 1998, Zhang & Srinivasan, 2004a, 2004b). The present article reviews recent studies that have challenged the percep- tual capacities of honeybees by asking if bees can, for instance, learn abstract rules by which to navigate mazes, learn and generalize abstract concepts, categorize complex visual objects, or acquire and memorize task-specific information when faced with a complex problem. This review discusses some key examples of recent","stimulus, or the second stimulus, that is the one to be matched in the decision chamber. Furthermore, they can apply this learnt rule to novel pairs of patterns, never previously encountered. Details are given in the text. (Adapted from . Learning the Abstract Concept of ""Order"":
 Then, in transfer tests,  tested whether bees could use their knowledge regarding order to guide their choice in the decision chamber (i.e., match the first or second stimulus seen in the tunnel) if all of the stimuli were novel. The bees did well in these tests and made correct choices in more than twothirds of the tests when the novel stimuli were rings and radial sectors (correct choice frequency = 0.66 ± 0.04, n = 18, p < 0.001, Transfer test 1 in Figure ), and gratings of 90 deg and 0 deg (correct choice frequency = 0.65 ± 0.02, n = 19, p < 0.001, Transfer test 2 in Figure ). Bees did equally as well when they had to learn that the second sample in the tunnel was the correct target stimulus (Figure ). Consequently, learning which of two sequentially encountered patterns is the one to be matched in a subsequent pattern-discrimination task is well within the honeybees' capabilities. Conclusions and Discussion:
 Research over the past thirty or so years is beginning to suggest that learning and perception in arthropods is much more intricate and flexible than was originally assumed. Honeybees in particular are capable of a variety of visuallyguided tasks that involve cognitive processes that operate at a surprisingly high level. They can learn to use symbolic rules for navigating through complex mazes, and to apply these rules in flexible ways. Honeybees are able to form concepts of sameness and difference and learn the order of visual objects in a sequence. They can also abstract the general properties of a stimulus, such as its orientation or symmetry (or even a combination of abstract features) and classify objects based on this information.  have even suggested that the existence of featureextracting mechanisms in the insect visual system might be comparable, functionally, to those known to exist in the mammalian cortex. While the processes of learning and perception may be more sophisticated in vertebrates than in invertebrates, there seems to be a continuum of capacities across these groups rather than a sharp distinction between them (e.g., . The abilities that an animal acquires (evolutionarily) seems to be governed largely by what it needs in order to pursue its lifestyle, rather than on whether or not it possesses a backbone. Conclusions and Discussion:
 In colloquial terms, the honeybee's brain is small, but its mind is smart. Consequently, it is a promising model system with which to investigate the emergence of intelligence from a small assembly of neurons. Nowadays, it is not a difficult task to design and build a chip with a million components, about the number of neurons in a bee's brain. Understanding how bees use this comparatively small number of information processing units to meet sophisticated biological challenges will give engineers insights into the performance capabilities of such a chip. This may lead to learning machines that can match the complex behaviors of the honeybee."
"Learning of Abstract Concepts and Rules by the Honeybee - eScholarship","https://scispace.com/paper/learning-of-abstract-concepts-and-rules-by-the-honeybee-2jd34ursa4","2006","Journal Article","International Journal of Comparative Psychology","Shaowu Zhang","","https://scispace.com/pdf/learning-of-abstract-concepts-and-rules-by-the-honeybee-2jd34ursa4.pdf","Despite the tiny brain of the honeybee, some remarkable higher cognitive functions have emerged from this assembly of about one million neurons. Work on the honeybee over the past decade is beginning to suggest that insects may not be the simple, reflexive creatures that they were once believed to be. Bees display perceptual and “cognitive” capacities that are surprisingly rich, complex and flexible. This article reviews the recent progress on the honeybee’s ability to learn and use abstract rules and concepts, to categorize visual objects in various ways, and to memorize task-specific information while navigating through their environment. This review is not intended to be exhaustive. Rather, it highlights important advances in our understanding of the processes underlying the bee’s remarkable behaviors.","stimulus, or the second stimulus, that is the one to be matched in the decision chamber. Furthermore, they can apply this learnt rule to novel pairs of patterns, never previously encountered. Details are given in the text. (Adapted from . Learning the Abstract Concept of ""Order"":
 Then, in transfer tests,  tested whether bees could use their knowledge regarding order to guide their choice in the decision chamber (i.e., match the first or second stimulus seen in the tunnel) if all of the stimuli were novel. The bees did well in these tests and made correct choices in more than twothirds of the tests when the novel stimuli were rings and radial sectors (correct choice frequency = 0.66 ± 0.04, n = 18, p < 0.001, Transfer test 1 in Figure ), and gratings of 90 deg and 0 deg (correct choice frequency = 0.65 ± 0.02, n = 19, p < 0.001, Transfer test 2 in Figure ). Bees did equally as well when they had to learn that the second sample in the tunnel was the correct target stimulus (Figure ). Consequently, learning which of two sequentially encountered patterns is the one to be matched in a subsequent pattern-discrimination task is well within the honeybees' capabilities. Conclusions and Discussion:
 Research over the past thirty or so years is beginning to suggest that learning and perception in arthropods is much more intricate and flexible than was originally assumed. Honeybees in particular are capable of a variety of visuallyguided tasks that involve cognitive processes that operate at a surprisingly high level. They can learn to use symbolic rules for navigating through complex mazes, and to apply these rules in flexible ways. Honeybees are able to form concepts of sameness and difference and learn the order of visual objects in a sequence. They can also abstract the general properties of a stimulus, such as its orientation or symmetry (or even a combination of abstract features) and classify objects based on this information.  have even suggested that the existence of featureextracting mechanisms in the insect visual system might be comparable, functionally, to those known to exist in the mammalian cortex. While the processes of learning and perception may be more sophisticated in vertebrates than in invertebrates, there seems to be a continuum of capacities across these groups rather than a sharp distinction between them (e.g., . The abilities that an animal acquires (evolutionarily) seems to be governed largely by what it needs in order to pursue its lifestyle, rather than on whether or not it possesses a backbone. Conclusions and Discussion:
 In colloquial terms, the honeybee's brain is small, but its mind is smart. Consequently, it is a promising model system with which to investigate the emergence of intelligence from a small assembly of neurons. Nowadays, it is not a difficult task to design and build a chip with a million components, about the number of neurons in a bee's brain. Understanding how bees use this comparatively small number of information processing units to meet sophisticated biological challenges will give engineers insights into the performance capabilities of such a chip. This may lead to learning machines that can match the complex behaviors of the honeybee."
"New vistas on honey bee vision","https://scispace.com/paper/new-vistas-on-honey-bee-vision-3izqrkdzbm","2012","Journal Article","Apidologie","Aurore Avarguès-Weber
Aurore Avarguès-Weber
Aurore Avarguès-Weber
Theo Mota
Theo Mota
Martin Giurfa
Martin Giurfa","10.1007/S13592-012-0124-2","https://scispace.com/pdf/new-vistas-on-honey-bee-vision-3izqrkdzbm.pdf","The honey bee is a traditional animal model for the study of visual perception, learning, and memory. Extensive behavioral studies have shown that honey bees perceive, learn, and memorize colors, shapes, and patterns when these visual cues are paired with sucrose reward. Bee color vision is trichromatic, based on three photoreceptor types (S, M, L), which peak in the UV, blue, and green region of the spectrum. Perceptual color spaces have been proposed to account for bee color vision, and the anatomy of the visual neuropils in the bee brain was described to a large extent. In the last decade, conceptual and technical advances improved significantly our comprehension of visual processing in bees. At the behavioral level, unexpected cognitive visual capacities were discovered such as categorical and conceptual categorization. At the neurobiological level, molecular analyses of the compound eye revealed an intricate heterogeneity in the distribution of photoreceptors in the retina. Spatial segregation and integration of visual information in the bee brain has been analyzed at functional levels so far unexploited. These recent discoveries associated with the perspective of accessing the bee brain of harnessed bees while they perceive and learn visual cues open new avenues toward a comprehension of the neural substrates of visual perception and learning in bees. Understanding how the miniature brain of bees achieves sophisticated visual performances is a fundamental goal for the comparative study of vision and cognition.","calcium-imaging or multiunits electrophysiology of visual circuits in the bee brain. Using these integrative approaches should allow studying for the first time experience-dependent changes in the bee brain related to visual learning, a goal that has remained elusive until now. CONCLUSION:
 The honey bee is a fascinating and promising insect model for studies on visual perception, processing, learning, and memory. The novel perspectives described here can have wide implications not only for the insect scientific community but also for scholars in fields as diverse as comparative cognition, philosophy, or robotics and artificial intelligence. Understanding the mechanisms underlying the cognitive visual abilities of the honey bee could allow for instance a description of the minimal neuronal architecture required for complex visual processing a n dt o implement similar architectures in the conception of intelligent robots or problem-solving algorithms ."
