"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A psychophysical evaluation of techniques for Mooney image generation","https://scispace.com/paper/a-psychophysical-evaluation-of-techniques-for-mooney-image-dh0gxrxg34","2024","Preprint","","Lars C. Reining
Thomas S. A. Wallis","10.48550/arxiv.2403.11867","https://peerj.com/articles/18059.pdf","… in visual perception, because they allow a dissociation between … perceptual effectiveness of more general techniques to create … After threshold selection we converted the smoothed …","Mooney images can contribute to our understanding of the processes involved in visual perception, because they allow a dissociation between image content and image understanding. Mooney images are generated by first smoothing and subsequently thresholding an image. In most previous studies this was performed manually, using subjective criteria for generation. This manual process could eventually be avoided by using automatic generation techniques. The field of computer image processing offers numerous techniques for image thresholding, but these are only rarely used to create Mooney images. Furthermore, there is little research on the perceptual effects of smoothing and thresholding. Therefore, in this study we investigated how the choice of different thresholding techniques and amount of smoothing affects the interpretability of Mooney images for human participants. We generated Mooney images using four different thresholding techniques and, in a second experiment, parametrically varied the level of smoothing. Participants identified the concepts shown in Mooney images and rated their interpretability. Although the techniques generate physically-different Mooney images, identification performance and subjective ratings were similar across the different techniques. This indicates that finding the perfect threshold in the process of generating Mooney images is not critical for Mooney image interpretability, at least for globally-applied thresholds. The degree of smoothing applied before thresholding, on the other hand, requires more tuning depending on the noise of the original image and the desired interpretability of the resulting Mooney image. Future work in automatic Mooney image generation should pursue local thresholding techniques, where different thresholds are applied to image regions depending on the local image content. "
"Do Memories of Inferred Visual Representations Guide Low-level Perception?","https://scispace.com/paper/do-memories-of-inferred-visual-representations-guide-low-c0z82upnhhs4","2025","Journal Article","bioRxiv","Ruoying L. Wang
William J. Harrison","10.1101/2025.03.07.641940","https://www.biorxiv.org/content/biorxiv/early/2025/03/10/2025.03.07.641940.full.pdf","… identification improves without corresponding perceptual … observer’s threshold, we also screened Mooney images, so … memory of the Mooney image throughout the perceptual test, …",""
"Modeling Time to Visual Insight in Mooney Image Recognition with a Chaotic Recurrent Neural Network","https://scispace.com/paper/WIDzTjezu64J","","","","M Kimura
Y Matsushita
M Inoue
S Seno
T Murata","","https://www.biorxiv.org/content/10.64898/2026.01.12.699047.full.pdf","… - K), where K thr is the recognition threshold for K. From the … -based feature extraction and human perception, rather than the … -like one-shot perceptual learning effects. (Paper presented …",""
"Understanding Human Perception Through MooneyFaces","https://scispace.com/paper/UgAzjrh3zLAJ","","","","R Arora","","https://dspace.mit.edu/bitstream/handle/1721.1/151521/arora-riya-meng-eecs-2023-thesis.pdf?sequence=1&isAllowed=y","… human performance in perceiving these Mooney faces, and … of face processing with human perceptual judgments. One … threshold that made the brightest 50% of pixels in the image …",""
"Perception of Mooney faces by young infants: the role of local feature visibility, contrast polarity, and motion","https://scispace.com/paper/perception-of-mooney-faces-by-young-infants-the-role-of-42145jqj8d","2012","Journal Article","Journal of Experimental Child Psychology","Yumiko Otsuka
Harold C Hill
So Kanazawa
Masami K. Yamaguchi
Branka Spehar","10.1016/J.JECP.2010.10.014","https://www.academia.edu/download/39952270/Perception_of_Mooney_faces_by_young_infa20151112-2490-qguxet.pdf","We examined the ability of young infants (3- and 4-month-olds) to detect faces in the two-tone images often referred to as Mooney faces. In Experiment 1, this performance was …",""
"Mooney face stimuli for visual perception research","https://scispace.com/paper/mooney-face-stimuli-for-visual-perception-research-1ngwpg42ub","2018","Journal Article","PLOS ONE","Caspar M. Schwiedrzik
Lucia Melloni
Lucia Melloni
Aaron Schurger
Aaron Schurger","10.1371/JOURNAL.PONE.0200106","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0200106&type=printable","… established threshold to create Mooney faces, the threshold … our new Mooney face stimuli were correctly recognized as a … interested in face perception and/or perceptual closure can use …","In 1957, Craig Mooney published a set of human face stimuli to study perceptual closure: the formation of a coherent percept on the basis of minimal visual information. Images of this type, now known as ""Mooney faces"", are widely used in cognitive psychology and neuroscience because they offer a means of inducing variable perception with constant visuo-spatial characteristics (they are often not perceived as faces if viewed upside down). Mooney's original set of 40 stimuli has been employed in several studies. However, it is often necessary to use a much larger stimulus set. We created a new set of over 500 Mooney faces and tested them on a cohort of human observers. We present the results of our tests here, and make the stimuli freely available via the internet. Our test results can be used to select subsets of the stimuli that are most suited for a given experimental purpose."
"… for Seeing: Enculturation of Visual-Referential Expertise as Demonstrated by Photo-Triggered Perceptual Reorganization of Two-Tone “Mooney” Images","https://scispace.com/paper/M-56adoTKpkJ","","","","J Yoon
N Witthoft
J Winawer
MC Frank","","https://escholarship.org/content/qt5n10g78h/qt5n10g78h.pdf","… time, a two-tone image may be perceived as a disorganized … with photo identification before proceeding to cued two-tone … The amount of blur and the black/white threshold point were …",""
"Mental models change rapidly with implicitly acquired information about the local environment: A two-tone image study.","https://scispace.com/paper/mental-models-change-rapidly-with-implicitly-acquired-1jvv3gz9c1","2001","Journal Article","Journal of Experimental Psychology: Human Perception and Performance","Cassandra Moore
Stephen A. Engel","10.1037//0096-1523.27.5.1211","","… Two-tone images are created by choosing a threshold level … images may exploit perceptual mechanisms developed for … the grayscale objects was recognized in the two-tone images, the …","The projection of 3-D objects to 2-D images necessitates a loss of information, thus the shape of volumetric objects depicted in images is inherently ambiguous. The results of 3 experiments suggest observers use mental models of the local visual environment to constrain image interpretation. These models change quickly and dramatically to accommodate implicitly acquired information. Observers viewed very high-contrast (2-tone) images of novel volumetric objects. Before priming, novel 2-tone images appeared 2-D. After incidental exposure to similar objects in grayscale or familiar objects in 2-tone, the test images appeared volumetric. Incidental learning appears to alter observers' mental models, thus causing an alteration in image interpretation in the absence of any image change. Highlights were interpreted more accurately than shadows, suggesting shadows play a secondary role in shape recovery."
"Enduring interest in perceptual ambiguity: alternating views of reversible figures.","https://scispace.com/paper/enduring-interest-in-perceptual-ambiguity-alternating-views-35uqed93uy","2004","Journal Article","Psychological Bulletin","Gerald M. Long
Thomas C. Toppino","10.1037/0033-2909.130.5.748","http://wexler.free.fr/library/files/long%20(2004)%20enduring%20interest%20in%20perceptual%20ambiguity.%20alternating%20views%20of%20reversible%20figures.pdf","… perception, satiation in the flow of cortical activity, fatigue of localized neural channels, cyclical decision processes, perceptual learning, perceptual … percept reach their threshold level, …","Research favoring the so-called bottom-up and top-down classes of explanations for reversible figures that dominated the literature in last half of the 20th century is reviewed. Two conclusions are offered. First, any single-process model is extremely unlikely to be able to accommodate the wide array of empirical findings, suggesting that the ""final"" explanation will almost certainly involve a hybrid conceptualization of interacting sensory and cognitive processes. Second, the utility of distinguishing between 2 components of the observer's experience with reversible figures is emphasized. This distinction between the observer's ability to access multiple representations from the single stimulus pattern (ambiguity) and the observer's phenomenal experience of oscillation between those representations (reversibility) permits the literature to be segregated into useful categories of research that expose overlapping but distinctive cortical processes."
"Single-neuron encoding of rapidly learned visual information reshapes human perception","https://scispace.com/paper/single-neuron-encoding-of-rapidly-learned-visual-information-6ug92m2xy9c1","2025","Journal Article","","Marcelo Armendáriz
Julie Blumberg
Jedediah M. Singer
Franz Aiple
Jiye Kim
Nuria Domıńguez-Iturza
Armin Brandt
Peter C. Reinacher
Andreas Schulze‐Bonhage
Gabriel Kreiman","10.1101/2025.08.04.668333","https://www.biorxiv.org/content/biorxiv/early/2025/08/05/2025.08.04.668333.full.pdf","… -learning Mooney images, Grayscale and a Mooney image … test (1,000 iterations) with a threshold P-value < 0.05, corrected … indicate that recognition after rapid perceptual learning may …","Humans can swiftly learn to recognize visual objects after minimal exposure. Integrating new information with existing knowledge requires forming enduring neuronal representations to enable future recognition. Yet, the neuronal mechanisms in the human brain underlying such rapid perceptual changes remain unclear. We recorded single-neuron activity in occipital (OC) and medial temporal lobe (MTL) regions as participants rapidly learned to recognize degraded images. OC and MTL neurons modulated their activity to encode newly learned visual information and reshape perception. Population decoding revealed that OC neurons required additional processing time to resolve the identity of learned images, delaying neuronal responses in the MTL. Our findings indicate that OC supports recognition after rapid learning via extensive recurrent processing, potentially involving higher-order neocortical areas, without relying on feedback from MTL. These results provide mechanistic constraints for biologically plausible models of visual recognition and few-shot visual learning. "
